Date,Author,Predicted Sentiment,Observed Sentiment,Text
Thu Nov 24 23:46:25 +0000 2016,Meghan Kozlosky,,,"@SouthwestAir But DID NOT change the reservation. Yet, my credit card was still charged. Cust. Ser. refunded a gift card used but not my CC!"
Thu Nov 24 23:45:43 +0000 2016,Meghan Kozlosky,,,"@SouthwestAir My beloved pet unexpectedly passed away this morning, and I contemplated changing my reservation to get home sooner...."
Thu Nov 24 23:44:54 +0000 2016,Cuee Wright,,,And s/o to @SouthwestAir flight attendants and full plane of ppl for singing happy birthday this morning
Thu Nov 24 23:44:40 +0000 2016,Meghan Kozlosky,,,@SouthwestAir I've spent the last 2 hours on hold trying to get a refund for an unauthorized charge on my credit card. Awful Cust. Service!
Thu Nov 24 23:41:00 +0000 2016,How I Built This,,,Extra Insights: Want to know more about @SouthwestAir Herb Kelleher's business philosophy? Via @Stanfordbiz: https://t.co/WqoJXYLEOQ
Thu Nov 24 23:29:56 +0000 2016,Kevin McKenna _üáº_üá¸_üê¸,,,"@SouthwestAir Who is the actress at the counter of your latest commercial? Anyway you want it? Looks familiar.
Thx."
Thu Nov 24 23:29:40 +0000 2016,Ted Mebane,,,"@SouthwestAir I love your ""anyway you want it"" commercial. Great job!!"
Thu Nov 24 23:29:09 +0000 2016,Travis McHenry,,,The #Transfareancy campaign from @SouthwestAir is a humorous break from the expected airlines ads
Thu Nov 24 23:28:29 +0000 2016,Ryan FitzGosReyLoc,,,"The @SouthwestAir comm. with ""anyway you want it..."" ...  thought it was @SHAQ on the left until now while ignoring my family. #thanksgiving"
Thu Nov 24 23:27:51 +0000 2016,Lisa,,,"I cannot get tired of the @SouthwestAir ""Anyway You Want It"" commercial"
Thu Nov 24 23:27:44 +0000 2016,Tommy the Deplorable,,,@MotownStrong @SouthwestAir shes no Arnel lol
Thu Nov 24 23:27:31 +0000 2016,Obbie Tyler Todd,,,Well done @SouthwestAir. Best Thanksgiving commercial.
Thu Nov 24 23:27:05 +0000 2016,Motown Strong,,,Anyone else impressed the @SouthwestAir ticket agent sounds just like Steve Perry?
Thu Nov 24 23:21:39 +0000 2016,levi weeks,,,https://t.co/CrdVQNRgoC @united @delta @southwestair @americanair @koreanair @british_airways  @oliverjolynn54  . #avgeek watch this
Thu Nov 24 23:20:46 +0000 2016,michelle _üçã_üìé,,,@SouthwestAir Sesame Street!
Thu Nov 24 23:19:07 +0000 2016,Mary,,,Loving this #sunset on #thanksgiving  day @SouthwestAir #nyc https://t.co/TzVQJXLDSo
Thu Nov 24 23:18:19 +0000 2016,Mary,,,Thank you @SouthwestAir for the free Thanksgiving Drinks!!_ü_É_ü_Éâù_ï¸èï¸èâù_ï¸èï¸èâúàï¸è https://t.co/PDCeo7DJot
Thu Nov 24 23:14:20 +0000 2016,Actually Grace,,,@SouthwestAir how do I know it's not just lost in ATX airport if there's no tracking?
,,,,
Fri Nov 25 23:55:36 +0000 2016,Brett Fitzgerald,,,"@SouthwestAir yes, they shipped our bag to the wrong city twice. And it hasn't made it onto any of the flights to Ft Myers."
Fri Nov 25 23:55:19 +0000 2016,David Parker Brown,,,@SouthwestAir you guys still flying to Keywest? I could Google but I like talking to you!
Fri Nov 25 23:53:01 +0000 2016,Tina McGugan,,,@ccacy @Delta @SouthwestAir I haven't flown them since.
Fri Nov 25 23:52:59 +0000 2016,Logan Hart âõ_ï¸è _üèå,,,@granthaycraft  @SouthwestAir   BNA -&gt; DCA  T minus 14 days!
Fri Nov 25 23:52:10 +0000 2016,Amy Slanchik,,,"@SouthwestAir @SouthwestAir I had the row to myself, so enjoyed a good book! Happy holidays! Landed safely _üòä https://t.co/PnRiZCLL40"
Fri Nov 25 23:47:08 +0000 2016,Timothy Joseph Lang,,,"Hey, @SouthwestAir, I love how you can change flights with you. Why don't other airlines do that?"
Fri Nov 25 23:46:28 +0000 2016,Michael Strock,,,"Hey @SouthwestAir when your attendants announce ""blazing high speed Internet"" and the entire plane laughs, maybe you shouldn't advertise it."
Fri Nov 25 23:42:27 +0000 2016,Loyal Chivette,,,"Shout out to @SouthwestAir for the great flights on my week long getaway, on final one now. I actually felt theâÄ_ https://t.co/SDE7yKfA3z"
Fri Nov 25 23:39:54 +0000 2016,Lisa Peterson,,,@1KingRat @SouthwestAir thanks for the tip. So frustrated about how poorly handled.
Fri Nov 25 23:38:42 +0000 2016,King Rat,,,"After one or two tweets they tend to ignore. Complain on better business bureau for action, it's recorded, can't beâÄ_ https://t.co/tRCUlwkyhw"
Fri Nov 25 23:36:28 +0000 2016,Lisa Peterson,,,@SouthwestAir third passenger just approached outside baggage claim. Says she'll be calling customer service. I showed her your fb msg
Fri Nov 25 23:35:04 +0000 2016,Lisa Peterson,,,@1KingRat  @SouthwestAir ignoring me. Twitter mean https://t.co/zJRVyDYpHi do you get them to respond?I fly 20 times/yr. Shocked @ bad CS.
Fri Nov 25 23:33:41 +0000 2016,King Rat,,,"8 round trip flights scheduled in the next 4 months, best part no more @SouthwestAir."
Fri Nov 25 23:33:19 +0000 2016,Colleen,,,@TinaMcGugan @Delta @SouthwestAir That's awful. Never personally had a bad experience on SW but that's inexcusable.
Fri Nov 25 23:31:53 +0000 2016,(((tbiz))),,,Today a @SouthwestAir attended put a man in his place for mysogonistic comments and I feel safe with them. Please learn from them @Delta
Fri Nov 25 23:31:51 +0000 2016,Gavin Seal,,,"Enjoying a smooth travel day, and free wifi! Thanks @SouthwestAir https://t.co/zqWKEAgLH4"
Fri Nov 25 23:31:49 +0000 2016,Bill,,,@yashar @JillFilipovic @Delta Yesterday it was @SouthwestAir. Sorry if it actually Delta.
Fri Nov 25 23:30:45 +0000 2016,Tina McGugan,,,"@ccacy @Delta @SouthwestAir  It was humiliating as hell. In front of my staff, no less. And their response to my letter? A $25 voucher."
Fri Nov 25 23:30:41 +0000 2016,Randy C. Downey,,,@HowIBuiltThis @MikeWtwhpwn737 @SouthwestAir @MikeWtwhpwn737 Watchd this live on @ABC news live!_üòÇ
Fri Nov 25 23:29:16 +0000 2016,Chauncey Gloster,,,Used @SouthwestAir Rapid Rewards points to visit family for Thanksgiving. Feels like all I did was say Go Go Gadget Airplane! Thx Southwest!
,,,,
Sat Nov 26 23:58:58 +0000 2016,Chris Dowdy,,,"Hilarious staff on @SouthwestAir  just joked abt putting kids in airplane mode. It's funny bc women and children are annoying
wait"
Sat Nov 26 23:54:11 +0000 2016,joanna,,,"Complete standstill traffic, freeway closed. @SouthwestAir is so nice they let you change to the next available flight @ no cost."
Sat Nov 26 23:51:19 +0000 2016,RevRuth Hawley-Lowry,,,@Delta How will these decisions be determined?Not just @Delta issue but also @united @AmericanAir @SouthwestAir When people mean who is off?
Sat Nov 26 23:50:40 +0000 2016,Josh Schneider,,,"Thanks for nothing @SouthwestAir. I don't think your $70 ""refund"" is going to cover all of this. https://t.co/gkdnoftTXO"
Sat Nov 26 23:48:45 +0000 2016,Janu  Â¯\_(ãÉÑ)_/Â¯,,,"Man,  flying without WiFi is so inapprops.  Shout out to Southwest for WiFi. In other news @SouthwestAir the pilot is really handsome. _üòâ _üòâ"
Sat Nov 26 23:48:42 +0000 2016,Danielle Bukowski,,,I prioritized buying reading material over dinner for this flight so @SouthwestAir better pull through on the free snacks
Sat Nov 26 23:46:17 +0000 2016,Joe Araiza,,,@SouthwestAir status on flight SW2590 please?
Sat Nov 26 23:45:07 +0000 2016,Ross Nelson,,,Paid $8 for in-flight wifi and it's too slow to play the movie I paid another $5 to watch. Thanks @SouthwestAir
Sat Nov 26 23:44:48 +0000 2016,Laurel Casey,,,"Bummed that our @SouthwestAir flight is delayed out of #LAX _üò©Flying w/ 11mo twins is hard, and now our travel time is even longer"
Sat Nov 26 23:40:36 +0000 2016,Robbie,,,@SouthwestAir can I have the wifi password pls
Sat Nov 26 23:40:11 +0000 2016,Benitez J,,,I'm glad I fly with @SouthwestAir because this doesn't happen. Maybe @Delta should learn how to handle these situatâÄ_ https://t.co/TI2Tsmq3TE
Sat Nov 26 23:39:12 +0000 2016,Frenchy,,,Flying an airline other than @SouthwestAir has given me an appreciation for how well Southwest does things
Sat Nov 26 23:37:16 +0000 2016,Josh,,,"After 2 straight flights with American Airlines, I am even more thankful for @SouthwestAir. I Can't wait to fly SW again on Wednesday!"
Sat Nov 26 23:35:17 +0000 2016,Don Price,,,And I love you @SouthwestAir
Sat Nov 26 23:34:02 +0000 2016,Robbie,,,Hey @SouthwestAir wanna make ur employee's move faster so I can go home
Sat Nov 26 23:31:38 +0000 2016,Royalty,,,Thank you for the opportunity _üëÄ @SouthwestAir https://t.co/qgoH8hhMum
Sat Nov 26 23:29:20 +0000 2016,Don Price,,,"@SouthwestAir. You did it RIGHT.  Used my points to take wife on first vacation sling years so I could tell her ""C"" returned. Thank you for"
Sat Nov 26 23:25:33 +0000 2016,John Middlebrook,,,"A brand that knows customer support, on and off the plane #greatgift #personalcard @southwestairâÄ_ https://t.co/sQing36qUc"
Sat Nov 26 23:15:51 +0000 2016,Paul Barrett,,,@SouthwestAir Any chance of a follow? #Please #ThankYou #WorldClassService I hope the magic word will do the trick for me
Sat Nov 26 23:12:37 +0000 2016,Nelfie the Elfie _üéÅ,,,Shout out to @SouthwestAir staff on this flight coming in clutch with all the jokes.
