Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:59:37 +0000 2016,thaWorldCitizen,,,Happy Anniversary @BiscoffCookies @Delta what a sweet partnership! #30SweetYears #contest https://t.co/VnEGeuewm9
Tue Nov 22 23:59:35 +0000 2016,James F. Ruffer III,,,We usually fly @Delta but had to go @AmericanAir and remember why. They forgot to clean before flight mem to clt https://t.co/tLuNElla9h
Tue Nov 22 23:59:11 +0000 2016,Drake Basketball,,,Appreciate @Delta making us feel at home with the Drake blue lighting on our 757 to Anchorage https://t.co/2IJTKOzlOB
Tue Nov 22 23:58:36 +0000 2016,sharg22763willchecku,,,@towandabraxton @Delta. Make dude pay!
Tue Nov 22 23:57:45 +0000 2016,Curt Campbell,,,@Delta I have. Nothing they can do. Many seats w/o power. Would think Delta would take care of D1. _üò®
Tue Nov 22 23:57:28 +0000 2016,kelsey riggs,,,@Delta you are literally the worst
Tue Nov 22 23:54:34 +0000 2016,Nishat,,,@micah_risk @Delta well that's a-doe-rable!
Tue Nov 22 23:54:18 +0000 2016,Mike Kelley,,,@Delta need to work on communication between your staff. Three different stories about why the plane is delayed and none of them match...
Tue Nov 22 23:54:06 +0000 2016,Curt Campbell,,,@delta on flt DL295 Atl to Nrt in D1. Electric outlet doz nt work so I am w/o cpap. A medical appliance and the reason D1 is so important. _üôÅ
Tue Nov 22 23:53:03 +0000 2016,Micah Risk,,,"Sshhh, don't tell @Delta that a couple of deer are on board! Here we come, Thanksgiving! https://t.co/xL0vbvB4ei"
Tue Nov 22 23:52:37 +0000 2016,Noah Mark,,,@Crazey4wwe next time take @Delta _üòâ
Tue Nov 22 23:52:34 +0000 2016,Kim,,,@Delta @Alitalia treated me so poorly that I hope I never need to fly on Alitalia again. I only chose this flight since they are sky team
Tue Nov 22 23:52:26 +0000 2016,Robin Naggar,,,"@JustinTuck @Delta airlines, can't fly without them and they know it"
Tue Nov 22 23:51:32 +0000 2016,Gordon Meyer,,,@AtlantaSnoop @Delta laguardia
