Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:59:56 +0000 2016,lindsay paige,,,".@united great, I have global entry. Many people who got their bags from the baggage claim before me did not. GE is before bag claim..."
Tue Nov 22 23:57:54 +0000 2016,angsta,,,ahhhh thank you @united ! just got the news that i am a winner in the billion mile giveaway! _üôã_üè»_üôã_üè»
Tue Nov 22 23:57:09 +0000 2016,Pam,,,@JonahNRO @united Don't say that! I fly United tomorrow.
Tue Nov 22 23:55:06 +0000 2016,Isaac Rosenberg,,,Wow this @united flight is so hot _üòí_üòÖ
Tue Nov 22 23:55:05 +0000 2016,Hamee (Choi) Ha,,,@united Are you joking? Do something about it right now and compensate for all the wasted time!!!!
Tue Nov 22 23:54:11 +0000 2016,jholbrook,,,@united 3890 #newark to #Buffalo
Tue Nov 22 23:53:53 +0000 2016,Maui Man,,,@united ok thanks for the info. May I ask why there is limited avail for miles use?
Tue Nov 22 23:53:40 +0000 2016,Hamee (Choi) Ha,,,@united extremely frustrated that this trip was Destroyed because of #united. Couldn't do any work for 3days that I absolutely had to do
Tue Nov 22 23:53:23 +0000 2016,Fuller,,,"So, to Paige w/ @united at EWR, thank you for listening &amp; solving what you could."
Tue Nov 22 23:52:23 +0000 2016,abhishek bharani,,,@united same old shit ..we just landed I don't know who you saw in line..And now next connection UA134 got delayed ..#worstairline
Tue Nov 22 23:51:53 +0000 2016,Hamee (Choi) Ha,,,@united I'll find out when I arrive since everyone on united call support was useless
Tue Nov 22 23:51:02 +0000 2016,Fuller,,,"So, @united team, how Paige approached the problem was textbook. Should be standard across UA &amp; would dramatically improve user experience."
Tue Nov 22 23:49:43 +0000 2016,ruthief,,,@united @TSA cc the fine folks at @EWRairport
Tue Nov 22 23:49:13 +0000 2016,Hamee (Choi) Ha,,,@united couldn't do any work and now I have to go pick up my luggage personally bc of slow delivery and united refuses to comp transport 2/2
Tue Nov 22 23:48:09 +0000 2016,Bill Nance,,,@JonahNRO @united Squat the surly tarmacs of UnitedâÑ¢Â®Â©.
Tue Nov 22 23:48:08 +0000 2016,Hamee (Choi) Ha,,,"@united lost my baggage from SFO To HND, failed to deliver for 48hrs, failed to contact me, and every rep has a diff story. (1/2)"
Tue Nov 22 23:47:59 +0000 2016,Fuller,,,"In a day filled w/ exceptional levels of frustration w/ @united's service, Paige in the EWR Pres Club listened &amp; addressed the problems."
Tue Nov 22 23:47:54 +0000 2016,Kerry W,,,@JonahNRO @united It's because you haven't turned off your electronic devices... you've messed up the entire system.
Tue Nov 22 23:47:54 +0000 2016,Sarita,,,"Just won 25,000 miles from @united for their billion mile giveaway promo. Thanks!!!!"
